target,alert
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
cpu,cpu
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
network,network
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
memory,memory
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
disk,disk
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
memory,ram
jvm,jmx
jvm,jmx
jvm,jmx
jvm,jmx
jvm,jmx
jvm,jmx
